málsnúmer;málsheiti;staða máls;heildartími;nefndir
33;40 stunda vinnuvika;Í nefnd eftir 1. umræðu.;1:05:00;
34;Alexandersflugvöllur sem varaflugvöllur fyrir Keflavíkur-, Reykjavíkur-, Akureyrar- og Egilsstaðaflugvelli;Í nefnd eftir fyrri umræðu.;;
35;auðlindir og auðlindagjöld;Í nefnd eftir fyrri umræðu.;;
36;breyting á lagaákvæðum um skipta búsetu barna;Fyrirspurninni var svarað skriflega.;;
37;óundirbúinn fyrirspurnatími;;;
38;byggðakvóti;;1:15:00;
39;lögreglunám;;;
40;breytingar á LÍN;;0:30:00;
41;heræfingar NATO;;0:30:00;
42;framkvæmdir við Reykjanesbraut;;;
43;vistvæn opinber innkaup á matvöru;Í nefnd eftir fyrri umræðu.;0:27:00;
44;endurskoðun verklagsreglna um skilarétt neytenda, gjafabréf og inneignarnótur;Í nefnd eftir fyrri umræðu.;;
45;óundirbúinn fyrirspurnatími;;;
46;fjárveitingar til SÁÁ;;;
47;sjúkraflutningar Rauða krossins;;0:05:00;
48;biðtími hjá Heyrnar- og talmeinastöð Íslands;;1:23:00;
49;rafrettur og rafrettuvökvi;;0:04:00;
50;skýrsla um peningastefnu;;;
51;landbúnaðarafurðir;;;
52;virðisaukaskattur;Samþykkt sem lög frá Alþingi.;1:45:00;
53;endurskoðun lögræðislaga;Samþykkt sem ályktun Alþingis.;0:01:00;
54;almannatryggingar;Í nefnd eftir 1. umræðu.;1:15:00;
55;skilgreining auðlinda;Samþykkt sem ályktun Alþingis.;0:04:00;
56;starfshópur um útgáfu öruggra opinberra skilríkja;Í nefnd eftir fyrri umræðu.;;
57;samningur Sameinuðu þjóðanna um bann við kjarnorkuvopnum;Í nefnd eftir fyrri umræðu.;;
58;ópíóíðafaraldur og aðgerðir til að stemma stigu við honum;;;
59;kostnaður við farsíma og nettengingar;Fyrirspurninni var svarað skriflega.;;
60;karlar og jafnrétti;Fyrirspurninni var svarað skriflega.;;
61;fýsileikakönnun á stofnun embættis umboðsmanns flóttamanna;Fyrirspurninni var svarað skriflega.;;
62;aðgangur að rafrænni þjónustu hins opinbera;Fyrirspurninni var svarað skriflega.;;
63;úthaldsdagar hafrannsóknaskipa;Fyrirspurninni var svarað skriflega.;;
64;óundirbúinn fyrirspurnatími;;;
65;RÚV í samkeppnisrekstri;;;
66;skýrsla um erlenda áhrifaþætti bankahrunsins;;;
67;verksvið forstjóra Barnaverndarstofu;;;
68;skattleysi uppbóta á lífeyri;;4:47:00;
69;fjöldi háskólamenntaðra;;1:05:00;
70;dómstólar o.fl.;Í nefnd eftir 1. umræðu.;0:51:00;
71;húsnæðismál;;;
72;plöntuverndarvörur;Fyrirspurninni var svarað skriflega.;;
73;notkun veiðarfæra;Fyrirspurninni var svarað skriflega.;;
74;óundirbúinn fyrirspurnatími;;;
75;vinnumarkaðsmál;;;
76;flugvellir og flugvallaþjónusta;;;
77;lögbann á Stundina;;0:51:00;
78;málefni fatlaðra barna;;;
79;brotastarfsemi á vinnumarkaði;;;
80;laxeldi í sjókvíum;;;
81;vaktstöð siglinga;Samþykkt sem lög frá Alþingi.;0:30:00;
82;náttúruvernd;Í nefnd eftir 1. umræðu.;;
83;minning þeirra Íslendinga sem fórust í seinni heimsstyrjöldinni;Í nefnd eftir fyrri umræðu.;;
84;tekjuskattur;Í nefnd eftir 1. umræðu.;0:00:00;
85;lyfið Naloxon;Fyrirspurninni var svarað skriflega.;;
86;þjóðaratkvæðagreiðsla um framtíð Reykjavíkurflugvallar;Í nefnd eftir fyrri umræðu.;;
87;endurnýjun vegarins yfir Kjöl með einkaframkvæmd;Bíður fyrri umræðu.;;
88;stimpilgjald;Í nefnd eftir 1. umræðu.;0:00:00;
89;umhverfismat fyrir gerð láglendisvegar um Mýrdal;Bíður fyrri umræðu.;;
90;breyting á sveitarstjórnarlögum;Í nefnd eftir 1. umræðu.;;
91;ráðgjöf og störf við tímabundin eða afmörkuð verkefni;Fyrirspurninni var svarað skriflega.;;
92;ráðgjöf og störf við tímabundin eða afmörkuð verkefni;Fyrirspurninni var svarað skriflega.;;
93;ráðgjöf og störf við tímabundin eða afmörkuð verkefni;Fyrirspurninni var svarað skriflega.;;
94;ráðgjöf og störf við tímabundin eða afmörkuð verkefni;Fyrirspurninni var svarað skriflega.;;
95;ráðgjöf og störf við tímabundin eða afmörkuð verkefni;Fyrirspurninni var svarað skriflega.;;
96;ráðgjöf og störf við tímabundin eða afmörkuð verkefni;Fyrirspurninni var svarað skriflega.;;
97;ráðgjöf og störf við tímabundin eða afmörkuð verkefni;Fyrirspurninni var svarað skriflega.;;
98;ráðgjöf og störf við tímabundin eða afmörkuð verkefni;Fyrirspurninni var svarað skriflega.;;
99;ráðgjöf og störf við tímabundin eða afmörkuð verkefni;Fyrirspurninni var svarað skriflega.;;
100;ráðgjöf og störf við tímabundin eða afmörkuð verkefni;Fyrirspurninni var svarað skriflega.;;
101;ráðgjöf og störf við tímabundin eða afmörkuð verkefni;Fyrirspurninni var svarað skriflega.;;
102;kjötrækt;Í nefnd eftir fyrri umræðu.;;
103;aðgengi að efnisveitu og myndmiðlaþjónustu Ríkisútvarpsins í útlöndum;Í nefnd eftir fyrri umræðu.;0:28:00;
104;stimpilgjald;Í nefnd eftir 1. umræðu.;1:30:00;
105;aðgengi fatlaðs fólks í farþegaflutningum;Fyrirspurninni var svarað skriflega.;;
106;fullgilding Haag-samningsins frá 1954 um vernd menningarverðmæta í vopnuðum átökum;Í nefnd eftir fyrri umræðu.;;
107;óundirbúinn fyrirspurnatími;;0:27:00;
108;verkferlar þegar einstaklingur verður bráðkvaddur erlendis;Fyrirspurninni var svarað skriflega.;;
109;geðheilbrigðismál og réttindi fatlaðs fólks;;;
110;námskeið um uppeldi barna;;0:00:00;
111;meðferð á erlendu vinnuafli;;;
112;andlát vegna ofneyslu lyfja;;;
113;ríkisfjármál;;;
114;þungunarrof;Fyrirspurninni var svarað skriflega.;;
115;málefni öryrkja;;;
116;áfengisauglýsingar;Fyrirspurninni var svarað munnlega.;;
117;kjötbirgðir;Fyrirspurninni var svarað skriflega.;;
118;áhættumat um innflutning dýra;Fyrirspurninni var svarað munnlega.;;
119;merking á vörum frá hernumdum svæðum Palestínu;Í nefnd eftir fyrri umræðu.;;
120;skyldutrygging lífeyrisréttinda og starfsemi lífeyrissjóða;Bíður 1. umræðu.;;
121;þyrlupallur á Heimaey;Bíður fyrri umræðu.;;
122;innviðauppbygging og markaðssetning hafnarinnar í Þorlákshöfn;Bíður fyrri umræðu.;;
123;óundirbúinn fyrirspurnatími;;;
124;hvatar til nýsköpunar;;;
125;dómur um innflutning á hráu kjöti;;0:10:00;
126;deilur Rússa við Evrópuráðið;;1:35:00;
127;rannsókn sjálfsvíga;;;
128;innflutningur á fersku kjöti;;;
129;heilsuefling eldra fólks;;;
130;réttarstaða þolenda í kynferðisbrotamálum;Fyrirspurninni var svarað skriflega.;;
131;staða sauðfjárbænda;;;
132;bætt stjórnsýsla í umgengnismálum;Bíður fyrri umræðu.;;
133;Stjórnartíðindi og Lögbirtingablað;Bíður 1. umræðu.;;
134;kosningar til Alþingis;Bíður 1. umræðu.;;
135;fasteignalán til neytenda;Í nefnd eftir 1. umræðu.;;
136;endurgreiðslur til félagasamtaka til almannaheilla vegna mannvirkjagerðar og annarra framkvæmda;Í nefnd eftir 1. umræðu.;;
137;sálfræðiþjónusta í fangelsum;Í nefnd eftir fyrri umræðu.;3:02:00;
138;dánaraðstoð;Í nefnd eftir fyrri umræðu.;0:05:00;
139;forvarnir;;0:50:00;
140;húsnæðisbætur;Í nefnd eftir 1. umræðu.;1:30:00;
141;staða aðgerða samkvæmt ferðamálaáætlun 2011--2020;;;
142;fæðingarorlof og heimabyggð fjarri fæðingarþjónustu;Fyrirspurninni var svarað skriflega.;;
143;erlendar fjárfestingar í ferðaþjónustu;;;
144;veiðigjald;Samþykkt sem lög frá Alþingi.;1 day, 0:07:00;
145;barnaverndarlög og almenn hegningarlög;Bíður 1. umræðu.;;
146;atvinnuleysistryggingar;Bíður 1. umræðu.;;
147;skipulags- og mannvirkjamál á Alþingissvæðinu;Í nefnd eftir 1. umræðu.;;
148;óundirbúinn fyrirspurnatími;;;
149;staða krónunnar;;;
150;stuðningur við minkarækt;;;
151;varnarmál;;;
152;fátækt;;;
153;störf umboðsmanns Alþingis;;;
154;fæðingar- og foreldraorlof;Í nefnd eftir 1. umræðu.;0:05:00;
155;breytt skipan ráðuneyta í Stjórnarráði Íslands;Samþykkt sem ályktun Alþingis.;5:16:00;
156;umboðsmaður barna;Samþykkt sem lög frá Alþingi.;0:25:00;
157;aðbúnaður, hollustuhættir og öryggi á vinnustöðum;Samþykkt sem lög frá Alþingi.;1:10:00;
158;svæðisbundin flutningsjöfnun;Samþykkt sem lög frá Alþingi.;1:50:00;
159;óundirbúinn fyrirspurnatími;;;
160;skattsvik;;;
161;staða transfólks í Bandaríkjunum;;;
162;samgöngumál á Vestfjörðum;;2:02:00;
163;birting upplýsinga;;;
164;aðgengi fatlaðra að hópferðabifreiðum;;;
165;borgarlína;;;
166;fjármögnun þjónustu SÁÁ og meðferðarúrræði utan höfuðborgarsvæðisins;Fyrirspurninni var svarað skriflega.;;
167;framtíð og efling íslenska sveitarstjórnarstigsins;;;
168;starfsemi smálánafyrirtækja;Bíður 1. umræðu.;;
169;Ríkisútvarpið og þjónustusamningur;Fyrirspurninni var svarað skriflega.;;
170;fæðuþörf Íslendinga og íslensk matvæli;Fyrirspurninni var svarað skriflega.;;
171;staða iðnnáms;;;
172;fimm ára samgönguáætlun 2019--2023;Samþykkt sem ályktun Alþingis.;20:26:00;
173;samgönguáætlun 2019--2033;Samþykkt sem ályktun Alþingis.;20:49:00;
174;mengun á byggingarstað við Hringbraut;Fyrirspurninni var svarað skriflega.;;
175;óundirbúinn fyrirspurnatími;;;
176;launamunur kynjanna;;3:45:00;
177;starfsgetumat;;;
178;birting dóma og nafna í ákveðnum dómsmálum;;1:45:00;
179;hækkun lægstu launa og hækkanir í þjóðfélaginu;;1:35:00;
180;jafnréttismál;;;
181;40 stunda vinnuvika;Vísað til ríkisstjórnar.;1:50:00;
182;skýrsla milliríkjanefndar Sameinuðu þjóðanna um loftslagsbreytingar (IPCC);;;
183;náttúruhamfaratrygging Íslands;Í nefnd eftir 1. umræðu.;0:00:00;
184;endurskoðun á lagaumhverfi er varðar uppkaup á landi;Í nefnd eftir fyrri umræðu.;;
185;heilbrigðisþjónusta o.fl.;Samþykkt sem lög frá Alþingi.;2:13:00;
186;samvinnufélög o.fl.;Í nefnd eftir 1. umræðu.;0:25:00;
187;staða sveitarfélaganna á Suðurnesjum;Samþykkt sem ályktun Alþingis.;0:14:00;
188;eftirlit með skipum;Í nefnd eftir 1. umræðu.;;
189;fiskeldi;Samþykkt sem lög frá Alþingi.;3:45:00;
190;óundirbúinn fyrirspurnatími;;;
191;siðferði í stjórnmálum;;;
192;innleiðing þriðja orkupakka ESB;;;
193;afnot af Alþingishúsinu;;;
194;dvalarleyfi barns námsmanna;;;
195;skerðingar í bótakerfinu;;;
196;staðan gagnvart Bretlandi vegna Brexit;;;
197;fjarheilbrigðisþjónusta;Fyrirspurninni var svarað skriflega.;;
198;öryggis- og varnarmál;;;
199;fulltrúar af landsbyggðinni í stjórnum, nefndum og ráðum;Fyrirspurninni var svarað skriflega.;;
200;fulltrúar af landsbyggðinni í stjórnum, nefndum og ráðum;Fyrirspurninni var svarað skriflega.;;
201;fulltrúar af landsbyggðinni í stjórnum, nefndum og ráðum;Fyrirspurninni var svarað skriflega.;;
202;fulltrúar af landsbyggðinni í stjórnum, nefndum og ráðum;Fyrirspurninni var svarað skriflega.;;
203;fulltrúar af landsbyggðinni í stjórnum, nefndum og ráðum;Fyrirspurninni var svarað skriflega.;;
204;fulltrúar af landsbyggðinni í stjórnum, nefndum og ráðum;Fyrirspurninni var svarað skriflega.;;
205;fulltrúar af landsbyggðinni í stjórnum, nefndum og ráðum;Fyrirspurninni var svarað skriflega.;;
206;fulltrúar af landsbyggðinni í stjórnum, nefndum og ráðum;Fyrirspurninni var svarað skriflega.;;
207;úttekt á stöðu ólíkra hópa fólks með tilliti til eigna-, tekju- og atvinnustöðu tíu árum eftir hrun;;;
208;byrlun ólyfjanar;Fyrirspurninni var svarað skriflega.;;
209;umsóknir um skattfrjálsa úttekt séreignarsparnaðar;Fyrirspurninni var svarað skriflega.;;
210;brottfall laga um ríkisskuldabréf;Samþykkt sem lög frá Alþingi.;0:15:00;
211;óundirbúinn fyrirspurnatími;;0:20:00;
212;innleiðing þriðja orkupakka ESB;;2:41:00;
213;skattleysi uppbóta á lífeyri;;;
214;upplýsingar um afdrif Hauks Hilmarssonar;;;
215;kirkjujarðasamkomulag;;;
216;opinberar framkvæmdir og fjárfestingar;;;
217;gerðabækur kjörstjórna;Fyrirspurninni var svarað skriflega.;;
218;drengir í vanda;;;
219;umferðarlög;Samþykkt sem lög frá Alþingi.;8:43:00;
220;rafræn birting álagningarskrár;Bíður fyrri umræðu.;;
221;útlendingar og Schengen-upplýsingakerfið á Íslandi;Samþykkt sem lög frá Alþingi.;1:38:00;
222;óundirbúinn fyrirspurnatími;;4:21:00;
223;EES-samningurinn;;;
224;stytting biðlista;;;
225;málefni Hugarafls;;;
226;hjálparhlutir fyrir fatlaða;;;
227;aðgerðir gegn skattsvikum;;;
228;gerð krabbameinsáætlunar;;;
229;horfur í ferðaþjónustu;Fyrirspurninni var svarað skriflega.;;
230;eignarhald á bújörðum;;;
231;skógar og skógrækt;Samþykkt sem lög frá Alþingi.;3:57:00;
232;landgræðsla;Samþykkt sem lög frá Alþingi.;2:48:00;
233;stuðningur til kaupa á fyrstu íbúð;Í nefnd eftir 1. umræðu.;0:51:00;
234;meðferð sakamála;Í nefnd eftir 1. umræðu.;;
235;óundirbúinn fyrirspurnatími;;4:17:00;
236;lækkun krónunnar;;;
237;kjarabætur til öryrkja;;;
238;lækkun framlaga til öryrkja í fjárlögum;;;
239;framlög til öryrkja;;;
240;efnahagslegar forsendur fjárlaga;;;
241;þýðing á íslenskum lögum og reglugerðum;Fyrirspurninni var svarað skriflega.;;
242;þýðing á íslenskum lögum og reglugerðum;Fyrirspurninni var svarað skriflega.;;
243;þýðing á íslenskum lögum og reglugerðum;Fyrirspurninni var svarað skriflega.;;
244;þýðing á íslenskum lögum og reglugerðum;Fyrirspurninni var svarað skriflega.;;
245;þýðing á íslenskum lögum og reglugerðum;Fyrirspurninni var svarað skriflega.;;
246;þýðing á íslenskum lögum og reglugerðum;Fyrirspurninni var svarað skriflega.;;
247;þýðing á íslenskum lögum og reglugerðum;Fyrirspurninni var svarað skriflega.;;
248;þýðing á íslenskum lögum og reglugerðum;Fyrirspurninni var svarað skriflega.;;
249;fræðsla um og meðferð við vefjagigt;Í nefnd eftir fyrri umræðu.;;
250;vísindarannsóknir á heilbrigðissviði;Í nefnd eftir 1. umræðu.;;
251;sjúkraflutningar;Fyrirspurninni var svarað skriflega.;;
252;lánveiting Seðlabanka Íslands til Kaupþings 6. október 2008;Fyrirspurninni var svarað skriflega.;;
253;atvinnuþátttaka fólks með skerta starfsgetu;Fyrirspurninni var svarað munnlega.;;
254;verkefni þingsályktunar um framkvæmdaáætlun í jafnréttismálum;Fyrirspurninni var svarað skriflega.;;
255;réttur barna sem aðstandendur;Samþykkt sem lög frá Alþingi.;0:30:00;
256;staða barna tíu árum eftir hrun;Í nefnd eftir fyrri umræðu.;;
257;óundirbúinn fyrirspurnatími;;;
258;skipting ríkisfjármuna;;;
259;staða Íslandspósts;;;
260;staða bænda;;;
261;aðgengi fatlaðra að opinberum byggingum;;;
262;ályktanir miðstjórnar Framsóknarflokksins;;;
263;mótun flugstefnu;;;
264;málefni aldraðra;Bíður 1. umræðu.;;
265;mat á kostnaðaráhrifum laga um jafna meðferð á vinnumarkaði;Fyrirspurninni var svarað skriflega.;;
266;lyfjalög og landlæknir og lýðheilsa;Samþykkt sem lög frá Alþingi.;3:00:00;
267;skipan starfshóps er leggi til breytingar til að auka hlutfall bólusetninga barna;Bíður fyrri umræðu.;;
268;fjárfestingarstefna sjóða;Fyrirspurninni var svarað skriflega.;;
269;lífrænn landbúnaður og ylrækt;Fyrirspurninni var svarað munnlega.;;
270;póstþjónusta;Samþykkt sem lög frá Alþingi.;6:27:00;
271;ráðherraábyrgð;Bíður 1. umræðu.;;
272;orlof húsmæðra;Bíður 1. umræðu.;;
273;gjaldtaka Isavia á Keflavíkurflugvelli;Fyrirspurninni var svarað skriflega.;;
274;mótun stefnu sem eflir fólk af erlendum uppruna til þátttöku í íslensku samfélagi;Í nefnd eftir fyrri umræðu.;1:00:00;
275;kolefnismerking á kjötvörur;Í nefnd eftir fyrri umræðu.;;
276;endurskoðun námslánakerfisins;Fyrirspurninni var svarað skriflega.;;
277;opinberir háskólar og háskólar;Bíður 1. umræðu.;;
278;heimild sveitarfélaga til að innheimta umhverfisgjöld;Bíður fyrri umræðu.;;
279;óundirbúinn fyrirspurnatími;;;
280;gjaldskrárhækkanir;;;
281;forritunarverkefni í grunnskólum;;;
282;hækkun til öryrkja;;2:08:00;
283;dvalarleyfi barns erlendra námsmanna;;;
284;mál pólsks talmeinafræðings;;;
285;gististaðir;Fyrirspurninni var svarað skriflega.;;
286;staða, þróun og framtíð íslenska lífeyrissjóðakerfisins;;;
287;markaðssetning áfangastaða á landsbyggðinni;Fyrirspurninni var svarað skriflega.;;
288;húshitun;Fyrirspurninni var svarað skriflega.;;
289;samkeppnisúttekt á löggjöf og regluverki;Í nefnd eftir fyrri umræðu.;;
290;menningarsalur Suðurlands;Bíður fyrri umræðu.;;
291;myndlistarnám fyrir börn og unglinga;Bíður fyrri umræðu.;;
292;óundirbúinn fyrirspurnatími;;0:42:00;
293;fjárframlög til háskólastigsins;;;
294;fasteignaliður í vísitölu;;;
295;bætur til öryrkja;;0:05:00;
296;eineltismál;;0:55:00;
297;veiðigjöld;;;
298;staða loðdýrabænda;;;
299;vísindarannsóknir á heilbrigðissviði;Í nefnd eftir 1. umræðu.;2:51:00;
300;staða íslensku millilandaflugfélaganna og eftirlitshlutverk Samgöngustofu;;1:13:00;
301;tekjuskattur og stuðningur við nýsköpunarfyrirtæki;Samþykkt sem lög frá Alþingi.;1:45:00;
302;tekjuskattur o.fl.;Samþykkt sem lög frá Alþingi.;1:23:00;
303;fjármálafyrirtæki;Samþykkt sem lög frá Alþingi.;2:15:00;
304;tollalög;Samþykkt sem lög frá Alþingi.;1:45:00;
305;ráðherraábyrgð og landsdómur;;1:10:00;
306;málefni aldraðra;Í nefnd eftir 1. umræðu.;0:10:00;
307;kostnaður ríkissjóðs við kísilverið á Bakka;Fyrirspurninni var svarað skriflega.;;
308;sálfræðiþjónusta og geðlæknaþjónusta;Fyrirspurninni var svarað skriflega.;;
309;mengandi lífræn efni í jarðvegi sem losaður er í Bolaöldu;Fyrirspurninni var svarað skriflega.;;
310;óundirbúinn fyrirspurnatími;;;
311;traust og virðing í stjórnmálum;;;
312;Bankasýsla ríkisins;;1:15:00;
313;þriðji orkupakki EES;;;
314;skipan Geirs H. Haarde í sendiherrastöðu;;4:00:00;
315;textun á innlendu sjónvarpsefni;Fyrirspurninni var svarað skriflega.;;
316;undanþágur vegna starfsemi skóla;Fyrirspurninni var svarað skriflega.;;
317;kennitöluflakk;Fyrirspurninni var svarað skriflega.;;
318;rafræn skráning á dýrasjúkdómum og lyfjameðhöndlun;Fyrirspurninni var svarað skriflega.;;
319;atvinnutækifæri fólks með þroskahömlun;Fyrirspurninni var svarað skriflega.;;
320;námsframboð eftir framhaldsskóla fyrir fólk með þroskahömlun;Fyrirspurninni var svarað skriflega.;;
321;betrun fanga;Bíður fyrri umræðu.;;
322;stofnun þings kjörinna fulltrúa innan Sameinuðu þjóðanna;Bíður fyrri umræðu.;;
323;flutningar á sorpi grennd í grennd við vatnsverndarsvæði;Fyrirspurninni var svarað skriflega.;;
324;brottfall nema í framhaldsskólum;Fyrirspurninni var svarað skriflega.;;
325;bætt umhverfi menntakerfisins;Fyrirspurninni var svarað munnlega.;;
326;sala á upprunaábyrgðum raforku;Fyrirspurninni var svarað skriflega.;;
327;undirbúningsvinna við nýja skrifstofubyggingu Alþingis;Fyrirspurninni var svarað skriflega.;;
328;staða transfólks og intersex-fólks;Bíður fyrri umræðu.;;
329;viðurkenning á þjóðarmorði á Armenum;Bíður fyrri umræðu.;;
330;notkun ávarpsorða á Alþingi;Bíður fyrri umræðu.;;
331;ráðherraábyrgð og landsdómur;;;
332;aldursgreiningar ungra umsækjenda um alþjóðlega vernd;Fyrirspurninni var svarað skriflega.;;
333;aldursgreiningar Háskóla Íslands á tönnum umsækjenda um alþjóðlega vernd;Fyrirspurninni var svarað skriflega.;;
334;aldursgreiningar og siðareglur lækna;Fyrirspurninni var svarað skriflega.;;
335;tekjuskattur;Samþykkt sem lög frá Alþingi.;0:15:00;
336;framkvæmdir og starfsemi sem ógnað geta öryggi vatnsöflunar;Fyrirspurninni var svarað skriflega.;;
337;skattundanskot;Fyrirspurninni var svarað skriflega.;;
338;erindi sem varða kirkjugarða;Fyrirspurninni var svarað skriflega.;;
339;ákvörðun sameiginlegu EES-nefndarinnar nr. 21/2018 um breytingu á IX., XII. og XXII. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;1:23:00;
340;ákvörðun sameiginlegu EES-nefndarinnar nr. 153/2018 um breytingu á XI. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;0:24:00;
341;ákvörðun sameiginlegu EES-nefndarinnar nr. 152/2018 um breytingu á XI. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;;
342;ákvörðun sameiginlegu EES-nefndarinnar nr. 22/2018 um breytingu á XI. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;;
343;ákvörðun sameiginlegu EES-nefndarinnar nr. 102/2018 um breytingu á XXII. viðauka og bókun 37 við EES-samninginn;Samþykkt sem ályktun Alþingis.;;
344;meðferð einkamála;Bíður 1. umræðu.;;
345;stefna um alþjóðlega þróunarsamvinnu Íslands 2019--2023;Samþykkt sem ályktun Alþingis.;1:54:00;
346;gögn í klínískum og erfðafræðilegum rannsóknum;Fyrirspurninni var svarað skriflega.;;
347;farsímasamband;Fyrirspurninni var svarað skriflega.;;
348;hjúkrunarheimili;Fyrirspurninni var svarað skriflega.;;
349;Framkvæmdasjóður aldraðra;Fyrirspurninni var svarað skriflega.;;
350;fjárveitingar úr ríkissjóði til Sjómannadagsráðs;Fyrirspurninni hefur ekki verið svarað.;;
351;styrkir til kaupa á hjálpartækjum;Fyrirspurninni var svarað munnlega.;;
352;símenntun og fullorðinsfræðsla;Fyrirspurninni var svarað munnlega.;;
353;óundirbúinn fyrirspurnatími;;;
354;úthlutun kvóta í makríl og veiðigjöld;;;
355;veggjöld;;;
356;áhrif fátæktar á heilsu fólks;;1:18:00;
357;samkomulag Sameinuðu þjóðanna um flóttamenn og farendur;;;
358;endurskoðun laga vegna úthlutunar veiðheimilda í makríl;;;
359;vöktun á súrnun sjávar;;;
360;fjöldi starfsmanna sem vinna við gerð lagafrumvarpa;Fyrirspurninni var svarað skriflega.;;
361;fjöldi starfsmanna sem vinna við gerð lagafrumvarpa;Fyrirspurninni var svarað skriflega.;;
362;fjöldi starfsmanna sem vinna við gerð lagafrumvarpa;Fyrirspurninni var svarað skriflega.;;
363;fjöldi starfsmanna sem vinna við gerð lagafrumvarpa;Fyrirspurninni var svarað skriflega.;;
364;fjöldi starfsmanna sem vinna við gerð lagafrumvarpa;Fyrirspurninni var svarað skriflega.;;
365;fjöldi starfsmanna sem vinna við gerð lagafrumvarpa;Fyrirspurninni var svarað skriflega.;;
366;tekjur og gjaldtaka Isavia á Keflavíkurflugvelli;Fyrirspurninni var svarað skriflega.;;
367;valkvæður viðauki við samning Sameinuðu þjóðanna um réttindi fatlaðs fólks;Fyrirspurninni var svarað munnlega.;;
368;stofnun embættis tæknistjóra ríkisins;Bíður fyrri umræðu.;;
369;aðgangur fatlaðs fólks að réttarkerfinu;Fyrirspurninni var svarað munnlega.;;
370;kostnaður vegna banns við innflutningi á fersku kjöti;;;
371;biðlistar hjá geðlæknum;Fyrirspurninni var svarað skriflega.;;
372;rafvæðing hafna;Fyrirspurninni var svarað munnlega.;;
373;virðisaukaskattur;Bíður 1. umræðu.;;
374;bálfarir og kirkjugarðar;Fyrirspurninni var svarað skriflega.;;
375;rafræn stjórnsýsla við afgreiðslu dvalarleyfa;Fyrirspurninni var svarað munnlega.;;
376;biðtími og stöðugildi sálfræðinga;Fyrirspurninni var svarað skriflega.;;
377;stöðugildi lækna;Fyrirspurninni var svarað skriflega.;;
378;kostnaður við hækkun ellilífeyris;Fyrirspurninni var svarað skriflega.;;
379;fjárfestingarstefna lífeyrissjóða;Fyrirspurninni var svarað skriflega.;;
380;árangurstenging kolefnisgjalds;Í nefnd eftir fyrri umræðu.;;
381;útgáfa á ársskýrslum;Fyrirspurninni var svarað skriflega.;;
382;útgáfa á ársskýrslum;Fyrirspurninni var svarað skriflega.;;
